                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1/09/26 12:10a   18.0   18.1   17.9    95   17.2   0.0   ---   0.00   0.0   ---   18.0   18.6   18.6    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.002   0.000   23.3    37    7.8   22.7   7.27  .9821     0.00   233    1    100.0   10 
 1/09/26 12:20a   17.9   17.9   17.9    95   17.1   0.0   ---   0.00   0.0   ---   17.9   18.6   18.6    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.003   0.000   23.3    37    7.8   22.6   7.27  .9824     0.00   232    1    100.0   10 
 1/09/26 12:30a   17.9   17.9   17.8    95   17.1   0.0   ---   0.00   0.0   ---   17.9   18.4   18.4    ---   846.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.003   0.000   23.3    35    7.0   22.6   6.97  .9831     0.00   231    1    100.0   10 
 1/09/26 12:40a   17.8   17.8   17.8    95   17.0   0.0   ---   0.00   0.0   ---   17.8   18.4   18.4    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.003   0.000   23.3    35    7.0   22.6   6.97  .9828     0.00   233    1    100.0   10 
 1/09/26 12:50a   17.8   17.8   17.8    95   17.0   0.0   ---   0.00   0.0   ---   17.8   18.3   18.3    ---   846.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.004   0.000   23.3    36    7.4   22.7   7.09  .9826     0.00   230    1    100.0   10 
 1/09/26  1:00a   17.8   17.8   17.7    95   17.0   0.0   ---   0.00   0.0   ---   17.8   18.3   18.3    ---   846.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.004   0.000   23.3    34    6.6   22.6   6.77  .9833     0.00   235    1    100.0   10 
 1/09/26  1:10a   17.7   17.7   17.6    95   16.9   0.0   ---   0.00   0.0   ---   17.7   18.2   18.2    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.005   0.000   23.3    34    6.6   22.6   6.77  .9832     0.00   233    1    100.0   10 
 1/09/26  1:20a   17.6   17.7   17.6    95   16.8   0.0   ---   0.00   0.0   ---   17.6   18.1   18.1    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.005   0.000   23.3    34    6.6   22.6   6.77  .9831     0.00   230    1    100.0   10 
 1/09/26  1:30a   17.6   17.6   17.6    95   16.7   0.0   ---   0.00   0.0   ---   17.6   18.1   18.1    ---   846.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.005   0.000   23.3    34    6.6   22.6   6.77  .9831     0.00   234    1    100.0   10 
