h_raw_cm,H_raw_cm,u_h_cm,u_H_cm
10.10,4.05,0.05,0.10
11.10,4.30,0.05,0.10
12.35,4.80,0.05,0.10
13.15,5.20,0.05,0.10
14.30,5.45,0.05,0.10
15.35,5.80,0.05,0.10
16.25,6.15,0.05,0.10
17.40,6.55,0.05,0.10
18.10,6.80,0.05,0.10
19.15,7.15,0.05,0.10
20.20,7.50,0.05,0.10
21.15,7.80,0.05,0.10
22.20,8.20,0.05,0.10
23.10,8.45,0.05,0.10
24.25,8.90,0.05,0.10
25.15,9.20,0.05,0.10
26.30,9.70,0.05,0.10
27.35,10.00,0.05,0.10
28.25,10.30,0.05,0.10
29.20,10.65,0.05,0.10
30.20,11.10,0.05,0.10
31.05,11.40,0.05,0.10
32.20,11.65,0.05,0.10
33.30,12.10,0.05,0.10
34.05,12.35,0.05,0.10
35.05,12.75,0.05,0.10
36.20,13.10,0.05,0.10
37.00,13.45,0.05,0.10
38.10,13.80,0.05,0.10
39.25,14.20,0.05,0.10
40.00,14.45,0.05,0.10
